favicon_source,favicon_status,favicon_url,foundry_id,foundry_name,foundry_url,release_count
icon,ok,https://www.domeinwebshop.nl/favicon.ico,love-letters,Love Letters,http://love-letters.be/,7
fallback:/favicon.ico,ok,https://mbtype.com/favicon.ico,mb-type,MB Type,https://mbtype.com/,7
icon,ok,https://midwesttype.com/favicon/favicon-32x32.png,midwest-type,Midwest Type,https://midwesttype.com/,7
fallback:/favicon.ico,ok,https://www.nan.xyz/favicon.ico,nan,NaN,https://www.nan.xyz/,7
shortcut icon,ok,https://nuformtype.com/wp-content/uploads/2022/01/NuForm_Favicon_16_64x64.png,nuform,Nuform,https://nuformtype.com/,7
shortcut icon,ok,https://ops-type.com/media/site/5014cea067-1756286771/ops-type-favicon-kopie-4-1-600x.png,ops-type,OPS Type,http://ourpolitesocietytype.net,7
,not_found,,proof-of-words,Proof of Words,https://proof-of-words.com/,7
icon,ok,https://supercontinente.com/favicon.ico,supercontinente,Supercontinente,https://www.supercontinente.com,7
icon,ok,https://www.vectrotype.com/favicon-32x32.png,vectro,Vectro,https://www.vectrotype.com/,7
icon,ok,https://weltkern.com/favicon-32x32.png,weltkern,Weltkern,https://weltkern.com,7
fallback:/favicon.ico,ok,https://www.adobe.com/favicon.ico,adobe-originals,Adobe Originals,https://adobe.com/type,6
icon,ok,https://alex-creq.com/favicons/favicon_16.png,alexandre-crequer,Alexandre Créquer,https://alex-creq.com/,6
icon,ok,https://www.carrois.com/assets/favicon/favicon-32x32.png,carrois-type-design,Carrois Type Design,https://www.carrois.com/,6
,not_found,,darden-studio,Darden Studio,https://www.dardenstudio.com/,6
,not_found,,debi-sementelli,Debi Sementelli,https://debisementelli.com/,6
,not_found,,formerly-known,Formerly Known,https://formerly-known.com/,6
icon,ok,https://freightcollection.com/favicon-32x32.png,freight-collection,Freight Collection,https://freightcollection.com/,6
icon,ok,https://i0.wp.com/joliciatype.com/wp-content/uploads/2021/05/favicon.png?fit=128%2C5128&ssl=1,jolicia-type,Jolicia Type,https://joliciatype.com/,6
,not_found,,naipe-foundry,Naipe Foundry,https://naipefoundry.com/,6
,not_found,,neue,Neue,https://www.neue.shop/,6
icon,ok,https://cdn.myportfolio.com/cb27cc1c-9a38-470b-8e65-8ed31d4dd9bc/3490028b-ec2e-4ab7-a1e9-927e951f4eb2_carw_1x1x32.jpg?h=9f3125967b23f0ba553905f5b58d3e12,nomad-foundry,Nomad Foundry,https://nomadfoundry.design/,6
shortcut icon,ok,https://www.reset-type.com/build/images/favicon.png,reset,Reset Type Studio,https://www.reset-type.com/,6
icon,ok,https://images.squarespace-cdn.com/content/v1/5e3f124e0b0aed2f275d54a0/1608149507164-QJ9MLEKJ9YQG9YVVB205/favicon.ico?format=100w,serpentype,Serpentype,https://www.serpentype.com/,6
,not_found,,shapes-for-cash,Shapes for Cash,https://www.shapesforcash.com/,6
fallback:/favicon.ico,ok,https://sportsfonts.com/favicon.ico,sportsfonts,Sportsfonts,https://sportsfonts.com/,6
icon,ok,https://framerusercontent.com/images/hhddSNb8wXeqTHrJRsx09JtaQ.png,studio-muhittin-gunes,Studio Muhittin Güneş,https://gunesmuhittin.com/,6
icon,ok,https://twintype.co/assets/favicon-d660bf32e7f4725e2fa22b0811abcfafb21f85df42b1956fc3eb87cf44bc16b1.png,twintype,Twintype,https://twintype.co/en,6
icon,ok,https://workingtitletypefoundry.be/assets/workingtitlelogo.png,working-title,Working Title,https://workingtitletypefoundry.be/,6
,not_found,,writtenshape,WrittenShape,https://www.writtenshape.com/,6
icon,ok,https://www.grootfontein.net/wp-content/uploads/2021/09/cropped-Grootfontein_Favicon2021-32x32.jpg,art-grootfontein,Art Grootfontein,https://www.grootfontein.net/,5
,not_found,,beasts-of-england,Beasts of England,https://beastsofengland.co/,5
,not_found,,counter-forms,Counter Forms,https://counter-forms.com/,5
icon,ok,https://framerusercontent.com/images/Ytd0aE5FJGnHEZve7iiFhrsDxg.png,en-travaux,En Travaux,https://entravaux.framer.website,5
icon,ok,https://www.fuertetype.com/favicon-32x32.png,fuerte-type,Fuerte Type,https://www.fuertetype.com/,5
icon,ok,https://c-p.rmcdn1.net/60531d62f1597b009de74aac/Favicon-e4330663-4bab-4fdb-be18-e9132616cd44_144.png,gs-type,GS-Type,https://gs-type.com/,5
,not_found,,lettermatic,Lettermatic,https://lettermatic.com/,5
icon,ok,https://ma-ma-type.com/assets/favicons/favicon-32x32.png,ma-ma-type,MA-MA Type,https://ma-ma-type.com/,5
,not_found,,multitudes,Multitudes,https://www.madeformultitudes.com/,5
fallback:/favicon.ico,ok,https://www.psyops.com/favicon.ico,psy-ops,PSY/OPS,https://www.psyops.com,5
icon,ok,https://freight.cargo.site/t/original/i/V2519040920420706304169153401772/Glowa.ico,piotr-lapa,Piotr Łapa,https://piotrlapa.com/,5
icon,ok,https://www.publictype.us/tenant-favicon/favicon-32x32.png,public-type,Public Type,https://www.publictype.us/,5
icon,ok,https://thepytefoundry.net/assets/favicon.png,pyte-foundry,Pyte Foundry,https://thepytefoundry.net/,5
,not_found,,razzia-type,Razzia Type,https://www.razziatype.com/,5
icon,ok,https://republi.sh/wp-content/uploads/fbrfg/favicon-32x32.png?v=E6wdBoYgNK,republish,Republish,https://republi.sh/,5
icon,ok,https://rubenprol.gal/favicon.png,ruben-prol,Rubén Prol,https://rubenprol.gal/,5
icon,ok,https://www.skritur.eu/tenant-favicon/favicon-32x32.png,skritur,Skritur,https://www.skritur.eu/,5
icon,ok,https://socio-type.com/favicon.ico,sociotype,Sociotype,https://socio-type.com/,5
icon,ok,https://static.wixstatic.com/media/9c9314_e4b021a2b0a64b5a9421bc59af4bb2bc~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/9c9314_e4b021a2b0a64b5a9421bc59af4bb2bc~mv2.jpg,spaghetype,Spaghetype,https://www.spaghetype.com/,5
icon,ok,https://typeoca.com/favicon.svg,typeoca,Typeóca,https://typeoca.com/,5
,not_found,,tupokompanii,Tüpokompanii,https://www.typokompanii.com/,5
icon,ok,https://victoriarushton.com/favicon.ico,victoria-rushton,Victoria Rushton,https://victoriarushton.com/,5
icon,ok,https://typographies.fr/favicon.ico,typographies-fr,typographies.fr,https://typographies.fr/,5
icon,ok,https://blast-foundry.com/media/site/9142a34b89-1684525389/8xxhaimx0q7a-32x.png,blast-foundry,Blast Foundry,https://blast-foundry.com/,4
icon,ok,https://contemporarytype.com/icons/favicon-dark.svg,contemporary-type,Contemporary Type,https://contemporarytype.com/,4
icon,ok,https://contrastfoundry.com/favicon.ico,contrast-foundry,Contrast Foundry,https://contrastfoundry.com/,4
,not_found,,dstype,DSType,https://dstype.com,4
