designer_id,foundry_id,role,source
claude-garamond,p22-type-foundry,designer,designers.affiliations
tyler-galpin,lost-type-co-op,Co-founder,designers.affiliations
faza-mufti,tokotype,designer,designers.affiliations
colin-brignall,letraset,Type Director,designers.affiliations
daniel-maarleveld,font-spectrum,designer,designers.affiliations
david-annertey-abbey-thompson,aayalolo,designer,designers.affiliations
ivan-castro,sudtipos,designer,designers.affiliations
ndiscover,cyreal,designer,designers.affiliations
daniel-grumer,dinamo,designer,designers.affiliations
daniel-grumer,typotheque,designer,designers.affiliations
daniel-grumer,tptq-arabic,designer,designers.affiliations
denis-serebryakov,serebryakov-type-foundry,Type Designer,designers.affiliations
savva-terentyev,schrift-foundry,designer,designers.affiliations
alan-kegler,p22-type-foundry,designer,designers.affiliations
claudio-pousada,sudtipos,designer,designers.affiliations
damien-gautier,205tf,designer,designers.affiliations
darryl-cornbread-mccray,maxitype,designer,designers.affiliations
dave-bailey,delve-fonts,designer,designers.affiliations
dave-bailey,lost-type-co-op,Type Design,designers.affiliations
dave-farey,lanston-type-company,designer,designers.affiliations
dave-farey,p22-type-foundry,designer,designers.affiliations
david-quay,the-foundry-types,designer,designers.affiliations
david-quay,retype,designer,designers.affiliations
david-quay,brutal-types,designer,designers.affiliations
edouard-berard,ecal-typefaces,designer,designers.affiliations
edouard-berard,order-type-foundry,designer,designers.affiliations
eduard-hoffmann,dalton-maag,designer,designers.affiliations
jeremy-johnson,nomad-foundry,Founder,designers.affiliations
eduardo-manso,emtype-foundry,designer,designers.affiliations
eduardo-renno,dalton-maag,designer,designers.affiliations
elena-schneider,elefonts,designer,designers.affiliations
peter-turbinov,schrift-foundry,designer,designers.affiliations
willy,twintype,co-founder & developer,designers.affiliations
david-berlow,font-bureau,Co-founder,designers.affiliations
david-berlow,bitstream,Type Designer,designers.affiliations
davy-dai,frere-jones-type,designer,designers.affiliations
dusan-jelesijevic,tour-de-force,designer,designers.affiliations
eleonore-fines,velvetyne,designer,designers.affiliations
ellen-jonsson,alt-tf,designer,designers.affiliations
eyiyemi-adegbite,afrotype,designer,designers.affiliations
j-adrian-pickering,p22-type-foundry,designer,designers.affiliations
dong-truc-nguyen,velvetyne,designer,designers.affiliations
alexander-lubovenko,schrift-foundry,designer,designers.affiliations
alberto-malossi,abc-etc,designer,designers.affiliations
alberto-malossi,weltkern,designer,designers.affiliations
alberto-malossi,formula-type,"Production and design assistance, Type Designer",designers.affiliations
clement-cases,blaze-type,designer,designers.affiliations
connary-fagen,connary-fagen,designer,designers.affiliations
constantine-popov,fontfabric,designer,designers.affiliations
corentin-echivard,milletype-foundry,designer,designers.affiliations
cristi-bordeianu,typeverything,designer,designers.affiliations
cristi-bordeianu,type-of-feeling,designer,designers.affiliations
fatima-lazaro,bretagne-type-foundry,designer,designers.affiliations
fatima-lazaro,205tf,designer,designers.affiliations
fatima-lazaro,nan,designer,designers.affiliations
gilles-gavillet,optimo,designer,designers.affiliations
h-alix-sanyas,velvetyne,designer,designers.affiliations
ben-nathan,cyreal,designer,designers.affiliations
ben-nathan,naipe-foundry,,designers.affiliations
shinn,shinntype,designer,designers.affiliations
anna-cairns,comma-type,Founder,designers.affiliations
ayaka-ito,sharp-type,designer,designers.affiliations
